TWN,MSCI Taiwan 25/50 Net Total Return Index Futures,future,hk,
TWP,MSCI Taiwan 25/50 Index Futures,future,hk,
TWR,China Tower Corporation Limited Futures,future,hk,
UCN,CNH/USD Futures,future,hk,
UIN,INR\USD Futures,future,hk,
VHS,HSI Volatility Index Futures,future,hk,
ZAO,ZhongAn Online P & C Insurance Company Limited Futures,future,hk,
ZJM,Zijin Mining Group Co Ltd Futures,future,hk,
BOC,BOC Hong Kong (Holdings) Limited Futures,future,hk,
LRN,MINI - CNH London Nickel Futures,future,hk,
LRP,MINI - CNH London Lead Futures,future,hk,
LRS,MINI - CNH London Tin Futures,future,hk,
LRZ,MINI - CNH London Zinc Futures,future,hk,
LUP,MINI - USD London Lead Futures,future,hk,
LUZ,MINI - USD London Zinc Futures,future,hk,
MAN,MSCI Australia NTR (USD) Index Futures,future,hk,
MBI,Hang Seng Mainland Banks Index Futures,future,hk,
MDN,MSCI Indonesia Net Total Return Index Futures,future,hk,
MEE,MSCI EM EMEA Net Total Return Index Futures,future,hk,
MEL,MSCI EM LatAm Net Total Return Index Futures,future,hk,
MGN,MSCI Singapore Free Net Total Return Index Futures,future,hk,
MHK,MSCI Hong Kong Net Total Return Index Futures,future,hk,
MJU,MSCI Japan Net Total Return Index Futures,future,hk,
MMA,MSCI Malaysia Index Futures,future,hk,
MMN,MSCI Malaysia Net Total Return Index Futures,future,hk,
MNZ,MSCI New Zealand Net Total Return Index Futures,future,hk,
MPJ,MSCI Pacific ex Japan Net Total Return Index Futures,future,hk,
MPN,MSCI Philippines Net Total Return Index Futures,future,hk,
MSG,MSCI Singapore Free Index Futures,future,hk,
MSN,MSCI Singapore Net Total Return Index Futures,future,hk,
MTD,MSCI Thailand Index Futures,future,hk,
MTN,MSCI Thailand Net Total Return Index Futures,future,hk,
MTR,MTR Corporation Limited Futures,future,hk,
MVI,MSCI Vietnam Index Futures,future,hk,
MVN,MSCI Vietnam Net Total Return Index Futures,future,hk,
MWN,MSCI Taiwan Net Total Return Index Futures,future,hk,
MXC,MSCI EM ex China Net Total Return Index Futures,future,hk,
MXJ,MSCI AC Asia ex Japan Net Total Return Index Futures,future,hk,
MXK,MSCI EM ex Korea Net Total Return Index Futures,future,hk,
NCL,New China Life Insurance Co Ltd Futures,future,hk,
NFU,Nongfu Spring Company Limited Futures,future,hk,
PAI,Ping An Insurance (Group) Company of China Ltd Futures,future,hk,
PEC,PetroChina Company Limited Futures,future,hk,
PHA,PA GOODDOCTOR CAP ADJ Futures,future,hk,
SAN,Sands China Ltd Futures,future,hk,
SHK,Sun Hung Kai Properties Limited Futures,future,hk,
SHL,Xinyi Solar Holdings Ltd Futures,future,hk,
SMC,Semiconductor Manufacturing International Corp Futures,future,hk,
SNO,Sunny Optical Technology (Group) Co Ltd Futures,future,hk,
SWA,Swire Pacific Limited A Futures,future,hk,
TRF,Tracker Fund of Hong Kong Futures,future,hk,
TRP,Tripcom Group Ltd Futures,future,hk,
TWA,CHINA TOWER ($0 001) CAP ADJ Futures,future,hk,
WEB,Weibo Corporation Futures,future,hk,
WHL,The Wharf (Holdings) Limited Futures,future,hk,
WXB,WuXi Biologics (Cayman) Inc Futures,future,hk,
